Day,Trend,RSI,Volume,News,Decision
D1,Stable,High,High,Positive,Hold
D2,Up,Low,Low,Positive,Buy
D3,Down,Medium,Medium,Negative,Sell
D4,Stable,Low,High,Positive,Hold
D5,Up,Medium,Medium,Positive,Buy
D6,Down,High,Low,Negative,Sell
D7,Stable,Medium,High,Positive,Hold
D8,Up,High,Medium,Negative,Hold
D9,Down,Low,High,Positive,Buy
D10,Stable,Medium,Low,Positive,Hold
D11,Up,Medium,High,Positive,Buy
D12,Down,High,Medium,Negative,Sell
D13,Stable,Low,Medium,Positive,Hold
D14,Up,Low,High,Positive,Buy
D15,Down,Medium,Low,Positive,Hold
D16,Stable,High,Medium,Negative,Hold
D17,Up,Medium,Low,Positive,Buy
D18,Down,Low,Medium,Negative,Sell
D19,Stable,Medium,High,Positive,Hold
D20,Up,High,High,Positive,Buy
D21,Down,Medium,Medium,Positive,Hold
D22,Stable,Low,Low,Positive,Hold
D23,Up,Medium,High,Negative,Hold
D24,Down,High,Low,Negative,Sell
D25,Stable,Medium,Medium,Positive,Hold
D26,Up,Low,Medium,Positive,Buy
D27,Down,Medium,High,Negative,Sell
D28,Stable,High,Low,Positive,Hold
D29,Up,Medium,Medium,Positive,Buy
D30,Down,Low,High,Positive,Buy
D31,Stable,Medium,Low,Negative,Hold
D32,Up,High,Medium,Positive,Buy
D33,Down,Medium,Low,Negative,Sell
D34,Stable,Low,High,Positive,Hold
D35,Up,Medium,High,Positive,Buy
D36,Down,High,Medium,Negative,Sell
D37,Stable,Medium,Medium,Positive,Hold
D38,Up,Low,Low,Negative,Hold
D39,Down,Medium,High,Negative,Sell
D40,Stable,High,Medium,Positive,Hold
D41,Up,Medium,Medium,Positive,Buy
D42,Down,Low,Low,Negative,Sell
D43,Stable,Medium,High,Positive,Hold
D44,Up,High,Low,Positive,Buy
D45,Down,Medium,Medium,Negative,Sell
D46,Stable,Low,Medium,Positive,Hold
D47,Up,Medium,High,Positive,Buy
D48,Down,High,High,Negative,Sell
D49,Stable,Medium,Low,Positive,Hold
D50,Up,Low,Medium,Positive,Buy
