Day,Trend,RSI,Volume,News,Decision
D1,Up,High,Low,Positive,Buy
D2,Down,Medium,High,Negative,Sell
D3,Stable,Low,Medium,Positive,Hold
D4,Up,Medium,Low,Positive,Buy
D5,Down,High,High,Negative,Sell
D6,Stable,Medium,Medium,Positive,Hold
D7,Up,Low,High,Positive,Buy
D8,Down,Medium,Low,Negative,Sell
D9,Stable,High,Medium,Positive,Hold
D10,Up,Medium,High,Positive,Buy
D11,Down,Low,Low,Negative,Sell
D12,Stable,Medium,High,Positive,Hold
D13,Up,High,Medium,Positive,Buy
D14,Down,Medium,Medium,Negative,Sell
D15,Stable,Low,High,Positive,Hold
D16,Up,Medium,Low,Positive,Buy
D17,Down,High,Low,Negative,Sell
D18,Stable,Medium,Medium,Positive,Hold
D19,Up,Low,Medium,Positive,Buy
D20,Down,Medium,High,Negative,Sell
D21,Stable,High,Low,Positive,Hold
D22,Up,Medium,Medium,Positive,Buy
D23,Down,Low,High,Negative,Sell
D24,Stable,Medium,Low,Positive,Hold
D25,Up,High,High,Positive,Buy
D26,Down,Medium,Low,Negative,Sell
D27,Stable,Low,Medium,Positive,Hold
D28,Up,Medium,High,Positive,Buy
D29,Down,High,Medium,Negative,Sell
D30,Stable,Medium,Medium,Positive,Hold
D31,Up,Low,Low,Positive,Buy
D32,Down,Medium,High,Negative,Sell
D33,Stable,High,Medium,Positive,Hold
D34,Up,Medium,Medium,Positive,Buy
D35,Down,Low,Medium,Negative,Sell
D36,Stable,Medium,Low,Positive,Hold
D37,Up,High,Low,Positive,Buy
D38,Down,Medium,Medium,Negative,Sell
D39,Stable,Low,High,Positive,Hold
D40,Up,Medium,High,Positive,Buy
D41,Down,High,Low,Negative,Sell
D42,Stable,Medium,Medium,Positive,Hold
D43,Up,Low,Medium,Positive,Buy
D44,Down,Medium,High,Negative,Sell
D45,Stable,High,Medium,Positive,Hold
D46,Up,Medium,Low,Positive,Buy
D47,Down,Low,High,Negative,Sell
D48,Stable,Medium,Medium,Positive,Hold
D49,Up,High,Medium,Positive,Buy
D50,Down,Medium,Low,Negative,Sell
