Day,Trend,RSI,Volume,News,Decision
D1,Up,High,High,Positive,Buy
D2,Up,High,Low,Negative,Hold
D3,Down,Low,High,Positive,Buy
D4,Down,High,High,Negative,Sell
D5,Stable,Medium,Medium,Positive,Hold
D6,Up,Low,Medium,Positive,Buy
D7,Down,Medium,Low,Negative,Sell
D8,Stable,High,High,Negative,Hold
D9,Up,Medium,High,Positive,Buy
D10,Down,Low,Medium,Positive,Hold
D11,Stable,Low,High,Positive,Buy
D12,Up,Medium,Low,Negative,Hold
D13,Down,High,Medium,Negative,Sell
D14,Stable,Medium,Low,Positive,Hold
D15,Up,Low,High,Positive,Buy
D16,Down,Medium,High,Negative,Sell
D17,Stable,High,Medium,Positive,Hold
D18,Up,High,Medium,Positive,Buy
D19,Down,Low,Low,Negative,Sell
D20,Stable,Medium,High,Positive,Hold
D21,Up,Medium,Medium,Positive,Buy
D22,Down,High,Low,Negative,Sell
D23,Stable,Low,Medium,Positive,Hold
D24,Up,High,High,Negative,Hold
D25,Down,Medium,Medium,Positive,Hold
D26,Stable,Medium,Low,Negative,Hold
D27,Up,Low,Medium,Positive,Buy
D28,Down,High,High,Negative,Sell
D29,Stable,High,Low,Positive,Hold
D30,Up,Medium,High,Positive,Buy
D31,Down,Low,Medium,Negative,Sell
D32,Stable,Medium,Medium,Positive,Hold
D33,Up,High,Low,Positive,Buy
D34,Down,Medium,High,Negative,Sell
D35,Stable,Low,High,Positive,Buy
D36,Up,Medium,Medium,Positive,Buy
D37,Down,High,Low,Negative,Sell
D38,Stable,Medium,Low,Positive,Hold
D39,Up,Low,High,Negative,Hold
D40,Down,Medium,Medium,Positive,Hold
D41,Stable,High,High,Positive,Hold
D42,Up,Medium,Low,Positive,Buy
D43,Down,Low,High,Negative,Sell
D44,Stable,Medium,Medium,Positive,Hold
D45,Up,High,Medium,Positive,Buy
D46,Down,Medium,Low,Negative,Sell
D47,Stable,Low,Medium,Positive,Hold
D48,Up,Medium,High,Positive,Buy
D49,Down,High,High,Negative,Sell
D50,Stable,Medium,Low,Positive,Hold
