Day Trend RSI Volume News Decision
D1 Up Low High Positive Buy
D2 Stable Medium Medium Positive Hold
D3 Down High High Negative Sell
D4 Stable Medium High Positive Hold
D5 Up Low Medium Positive Buy
D6 Down High Medium Negative Sell
D7 Stable Medium High Positive Hold
D8 Up Medium High Positive Buy
D9 Down High High Negative Sell
D10 Up Low Medium Positive Buy
D11 Stable Medium Medium Positive Hold
D12 Down High Medium Negative Sell
D13 Up Medium High Positive Buy
D14 Stable Medium High Positive Hold
D15 Down High High Negative Sell
D16 Up Low High Positive Buy
D17 Stable Medium Medium Positive Hold
D18 Down High Medium Negative Sell
D19 Up Low Medium Positive Buy
D20 Stable Medium High Positive Hold
D21 Down High High Negative Sell
D22 Up Medium High Positive Buy
D23 Stable Medium Medium Positive Hold
D24 Down High Medium Negative Sell
D25 UpLow Medium Positive Buy
D26 Stable Medium High Positive Hold
D27 Down High High Negative Sell
D28 Up Medium High Positive Buy
D29 Stable Medium Medium Positive Hold
D30 Down High Medium Negative Sell
D31 Up Low Medium Positive Buy
D32 Stable Medium High Positive Hold
D33 Down High High Negative Sell
D34 Up Medium High Positive Buy
D35 Stable Medium Medium Positive Hold
D36 Down High Medium Negative Sell
D37 Up Low Medium Positive Buy
D38 Stable Medium High Positive Hold
D39 Down High High Negative Sell
D40 Up Medium High Positive Buy
D41 Stable Medium Medium Positive Hold
D42 Down High Medium Negative Sell
D43 Up Low Medium Positive Buy
D44 Stable Medium High Positive Hold
D45 Down High High Negative Sell
D46 Up Medium High Positive Buy
D47 Stable Medium Medium Positive Hold
D48 Down High Medium Negative Sell
D49 Up Low Medium Positive Buy
D50 Stable Medium High Positive Hold
